developer_name,oblast,project_area,project_name,project_price_uah,title,town,type_and_count
,Харківська область,,,,"
                КМ Country House
            ",с. Родичі,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>4</td>
                                            <td>0</td>
                                            <td>9</td>
                                    </tr>
                        </table>"
,,,,,"
                КМ WHITEWOOD
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>118</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,,,,,"
                КМ Європейський квартал
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>80</td>
                                    </tr>
                        </table>"
,Харківська область,,,,"
                КМ Comfort Club
            ",смт Бабаї,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>85</td>
                                            <td>0</td>
                                            <td>15</td>
                                    </tr>
                        </table>"
,Харківська область,,,,"
                КМ EVO country club
            ",с. Черкаські Тишки,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>26</td>
                                            <td>0</td>
                                            <td>10</td>
                                    </tr>
                            <tr>
                    <td>Дуплекси</td>
                                            <td>30</td>
                                            <td>0</td>
                                            <td>4</td>
                                    </tr>
                        </table>"
,Харківська область,"<div class=""CottagePrices-cell -area"">90 м²</div>,<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">140 м²</div>,<div class=""CottagePrices-cell -area"">180 м²</div>,<div class=""CottagePrices-cell -area"">5 соток</div>,<div class=""CottagePrices-cell -area"">6 соток</div>,<div class=""CottagePrices-cell -area"">7 соток</div>,<div class=""CottagePrices-cell -area"">6 соток</div>,<div class=""CottagePrices-cell -area"">8 соток</div>,<div class=""CottagePrices-cell -area"">10 соток</div>,<div class=""CottagePrices-cell -area"">9 соток</div>,<div class=""CottagePrices-cell -area"">90 м²</div>,<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">140 м²</div>,<div class=""CottagePrices-cell -area"">180 м²</div>,<div class=""CottagePrices-cell -area"">90 м²</div>,<div class=""CottagePrices-cell -area"">120 м²</div>,<div class=""CottagePrices-cell -area"">140 м²</div>,<div class=""CottagePrices-cell -area"">180 м²</div>,<div class=""CottagePrices-cell -area"">5 соток</div>,<div class=""CottagePrices-cell -area"">6 соток</div>,<div class=""CottagePrices-cell -area"">7 соток</div>,<div class=""CottagePrices-cell -area"">6 соток</div>,<div class=""CottagePrices-cell -area"">8 соток</div>,<div class=""CottagePrices-cell -area"">10 соток</div>,<div class=""CottagePrices-cell -area"">9 соток</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Шале</div>,<div class=""CottagePrices-cell -name"">Z500</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 1</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Шале</div>,<div class=""CottagePrices-cell -name"">Z500</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Шале</div>,<div class=""CottagePrices-cell -name"">Z500</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 1</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка з видом на озеро 3</div>","<div data-currency=""uah"" class="""">
                                                    від 3.08 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.62 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 6.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 385 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 462 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 539 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 693 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 924 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 963 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 1.04 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.08 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.62 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 6.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.08 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 4.62 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 5.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 6.93 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 385 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 462 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 539 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 693 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 924 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 963 тис. грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 1.04 млн грн
                                                </div>","
                КМ GoodLife Park
            ",с. Циркуни,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>42</td>
                                            <td>8</td>
                                            <td>0</td>
                                    </tr>
                                <tr>
                                    <th> </th>
                                    <th>Вільні</th>
                                    <th>Забудовуються</th>
                                    <th>Забудовані</th>
                            </tr>
                            <tr>
                    <td>Ділянки</td>
                                            <td>300</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,Харківська область,"<div class=""CottagePrices-cell -area"">109.86 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 2 </div>","<div data-currency=""uah"" class="""">
                                                    2.5 млн грн
                                                </div>","
                КМ Черкаські Тишки
            ",с. Черкаські Тишки,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>5</td>
                                            <td>0</td>
                                            <td>10</td>
                                    </tr>
                        </table>"
,Харківська область,"<div class=""CottagePrices-cell -area"">100 м²</div>,<div class=""CottagePrices-cell -area"">123 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">210 м²</div>,<div class=""CottagePrices-cell -area"">250 м²</div>,<div class=""CottagePrices-cell -area"">10 соток</div>,<div class=""CottagePrices-cell -area"">10.5 соток</div>,<div class=""CottagePrices-cell -area"">12 соток</div>,<div class=""CottagePrices-cell -area"">14.5 соток</div>,<div class=""CottagePrices-cell -area"">15 соток</div>,<div class=""CottagePrices-cell -area"">100 м²</div>,<div class=""CottagePrices-cell -area"">123 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">210 м²</div>,<div class=""CottagePrices-cell -area"">250 м²</div>,<div class=""CottagePrices-cell -area"">10 соток</div>,<div class=""CottagePrices-cell -area"">10.5 соток</div>,<div class=""CottagePrices-cell -area"">12 соток</div>,<div class=""CottagePrices-cell -area"">14.5 соток</div>,<div class=""CottagePrices-cell -area"">15 соток</div>","<div class=""CottagePrices-cell -name"">Тип 5</div>,<div class=""CottagePrices-cell -name"">Тип 3</div>,<div class=""CottagePrices-cell -name"">Тип 2</div>,<div class=""CottagePrices-cell -name"">Тип 4</div>,<div class=""CottagePrices-cell -name"">Тип 6</div>,<div class=""CottagePrices-cell -name"">Тип 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 5</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка 38</div>,<div class=""CottagePrices-cell -name"">Ділянка 88</div>,<div class=""CottagePrices-cell -name"">Тип 5</div>,<div class=""CottagePrices-cell -name"">Тип 3</div>,<div class=""CottagePrices-cell -name"">Тип 2</div>,<div class=""CottagePrices-cell -name"">Тип 4</div>,<div class=""CottagePrices-cell -name"">Тип 6</div>,<div class=""CottagePrices-cell -name"">Тип 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 5</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>","<div data-currency=""uah"" class="""">
                                                    5.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.16 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    9.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    9.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.5 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.73 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    5.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.16 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    9.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    9.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.78 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.5 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.63 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.73 млн грн
                                                </div>","
                КМ Шалє Грааль
            ",смт Мала Данилівка,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>6</td>
                                    </tr>
                                <tr>
                                    <th> </th>
                                    <th>Вільні</th>
                                    <th>Забудовуються</th>
                                    <th>Забудовані</th>
                            </tr>
                            <tr>
                    <td>Ділянки</td>
                                            <td>40</td>
                                            <td>0</td>
                                            <td>130</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">590 м²</div>,<div class=""CottagePrices-cell -area"">400 м²</div>,<div class=""CottagePrices-cell -area"">860 м²</div>,<div class=""CottagePrices-cell -area"">432 м²</div>,<div class=""CottagePrices-cell -area"">164 м²</div>,<div class=""CottagePrices-cell -area"">20 соток</div>,<div class=""CottagePrices-cell -area"">34 соток</div>,<div class=""CottagePrices-cell -area"">590 м²</div>,<div class=""CottagePrices-cell -area"">400 м²</div>,<div class=""CottagePrices-cell -area"">860 м²</div>,<div class=""CottagePrices-cell -area"">432 м²</div>,<div class=""CottagePrices-cell -area"">164 м²</div>,<div class=""CottagePrices-cell -area"">20 соток</div>,<div class=""CottagePrices-cell -area"">34 соток</div>","<div class=""CottagePrices-cell -name"">Проект 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 2 </div>,<div class=""CottagePrices-cell -name"">Проект 1</div>,<div class=""CottagePrices-cell -name"">Таунхаус</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>,<div class=""CottagePrices-cell -name"">Ділянка 1</div>,<div class=""CottagePrices-cell -name"">Ділянка 3</div>,<div class=""CottagePrices-cell -name"">Ділянка 5</div>,<div class=""CottagePrices-cell -name"">Проект 5</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 2 </div>,<div class=""CottagePrices-cell -name"">Таунхаус</div>,<div class=""CottagePrices-cell -name"">Ділянка 4</div>,<div class=""CottagePrices-cell -name"">Ділянка 2</div>","<div data-currency=""uah"" class="""">
                                                    22.72 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    23.1 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    32.73 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    42.36 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 13.09 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    22.72 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    23.1 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    32.73 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    42.36 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.01 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 7.7 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 13.09 млн грн
                                                </div>","
                КМ Park House
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>100</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>5</td>
                                    </tr>
                                <tr>
                                    <th> </th>
                                    <th>Вільні</th>
                                    <th>Забудовуються</th>
                                    <th>Забудовані</th>
                            </tr>
                            <tr>
                    <td>Ділянки</td>
                                            <td>4</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
,,"<div class=""CottagePrices-cell -area"">255 м²</div>,<div class=""CottagePrices-cell -area"">210 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">220 м²</div>,<div class=""CottagePrices-cell -area"">320 м²</div>,<div class=""CottagePrices-cell -area"">320 м²</div>,<div class=""CottagePrices-cell -area"">380 м²</div>,<div class=""CottagePrices-cell -area"">132 м²</div>,<div class=""CottagePrices-cell -area"">14.5 соток</div>,<div class=""CottagePrices-cell -area"">15 соток</div>,<div class=""CottagePrices-cell -area"">255 м²</div>,<div class=""CottagePrices-cell -area"">210 м²</div>,<div class=""CottagePrices-cell -area"">300 м²</div>,<div class=""CottagePrices-cell -area"">220 м²</div>,<div class=""CottagePrices-cell -area"">320 м²</div>,<div class=""CottagePrices-cell -area"">320 м²</div>,<div class=""CottagePrices-cell -area"">380 м²</div>,<div class=""CottagePrices-cell -area"">132 м²</div>,<div class=""CottagePrices-cell -area"">14.5 соток</div>,<div class=""CottagePrices-cell -area"">15 соток</div>","<div class=""CottagePrices-cell -name"">Проект 12 </div>,<div class=""CottagePrices-cell -name"">Проєкт 10</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проект 7</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проект 11</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 2</div>,<div class=""CottagePrices-cell -name"">Проєкт 6</div>,<div class=""CottagePrices-cell -name"">Проєкт 8</div>,<div class=""CottagePrices-cell -name"">Проєкт 9</div>,<div class=""CottagePrices-cell -name"">Проєкт 1 (Лінія 1)</div>,<div class=""CottagePrices-cell -name"">Проєкт 1 (Лінія 2)</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 5</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 6</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 1</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 2</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 3</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 4</div>,<div class=""CottagePrices-cell -name"">Проект 12 </div>,<div class=""CottagePrices-cell -name"">Проєкт 10</div>,<div class=""CottagePrices-cell -name"">Проєкт 4</div>,<div class=""CottagePrices-cell -name"">Проект 7</div>,<div class=""CottagePrices-cell -name"">Проєкт 3</div>,<div class=""CottagePrices-cell -name"">Проєкт 5</div>,<div class=""CottagePrices-cell -name"">Проект 11</div>,<div class=""CottagePrices-cell -name"">Проєкт 1 (Лінія 1)</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 5</div>,<div class=""CottagePrices-cell -name"">Ділянка Тип 6</div>","<div data-currency=""uah"" class="""">
                                                    10.4 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    11.55 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    12.71 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    13.48 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    16.94 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    16.94 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    57.76 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.62 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.47 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.47 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    10.4 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    11.55 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    12.71 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    13.48 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    16.94 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    16.94 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    57.76 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    6.62 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.47 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.47 млн грн
                                                </div>","
                КМ Forest Town
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>10</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>31</td>
                                    </tr>
                                <tr>
                                    <th> </th>
                                    <th>Вільні</th>
                                    <th>Забудовуються</th>
                                    <th>Забудовані</th>
                            </tr>
                            <tr>
                    <td>Ділянки</td>
                                            <td>2</td>
                                            <td>0</td>
                                            <td>3</td>
                                    </tr>
                        </table>"
